operator,scenario,device_time_mean_ms,wall_time_mean_ms,params_json,source,accuracy_passed
add_rmsnorm_bias,deepseek_v3_add_rmsnorm_decode_bs1,0.0146,2.4182,"{""hidden_size"":7168,""eps"":1e-06,""M"":1,""dtype"":""bf16"",""source"":""DeepSeek-V3, Add+RMSNorm, decode, batch=1"",""model"":""deepseek-ai/DeepSeek-V3"",""phase"":""decode""}","DeepSeek-V3, Add+RMSNorm, decode, batch=1",True
add_rmsnorm_bias,deepseek_v3_add_rmsnorm_decode_bs2,0.0164,2.4192,"{""hidden_size"":7168,""eps"":1e-06,""M"":2,""dtype"":""bf16"",""source"":""DeepSeek-V3, Add+RMSNorm, decode, batch=2"",""model"":""deepseek-ai/DeepSeek-V3"",""phase"":""decode""}","DeepSeek-V3, Add+RMSNorm, decode, batch=2",True
add_rmsnorm_bias,deepseek_v3_add_rmsnorm_decode_bs4,0.0163,2.4191,"{""hidden_size"":7168,""eps"":1e-06,""M"":4,""dtype"":""bf16"",""source"":""DeepSeek-V3, Add+RMSNorm, decode, batch=4"",""model"":""deepseek-ai/DeepSeek-V3"",""phase"":""decode""}","DeepSeek-V3, Add+RMSNorm, decode, batch=4",True
add_rmsnorm_bias,deepseek_v3_add_rmsnorm_decode_bs8,0.0165,2.4192,"{""hidden_size"":7168,""eps"":1e-06,""M"":8,""dtype"":""bf16"",""source"":""DeepSeek-V3, Add+RMSNorm, decode, batch=8"",""model"":""deepseek-ai/DeepSeek-V3"",""phase"":""decode""}","DeepSeek-V3, Add+RMSNorm, decode, batch=8",True
add_rmsnorm_bias,deepseek_v3_add_rmsnorm_decode_bs16,0.0168,2.4191,"{""hidden_size"":7168,""eps"":1e-06,""M"":16,""dtype"":""bf16"",""source"":""DeepSeek-V3, Add+RMSNorm, decode, batch=16"",""model"":""deepseek-ai/DeepSeek-V3"",""phase"":""decode""}","DeepSeek-V3, Add+RMSNorm, decode, batch=16",True
add_rmsnorm_bias,deepseek_v3_add_rmsnorm_decode_bs32,0.017,2.4191,"{""hidden_size"":7168,""eps"":1e-06,""M"":32,""dtype"":""bf16"",""source"":""DeepSeek-V3, Add+RMSNorm, decode, batch=32"",""model"":""deepseek-ai/DeepSeek-V3"",""phase"":""decode""}","DeepSeek-V3, Add+RMSNorm, decode, batch=32",True
add_rmsnorm_bias,deepseek_v3_add_rmsnorm_prefill_s64,0.0183,2.419,"{""hidden_size"":7168,""eps"":1e-06,""M"":64,""dtype"":""bf16"",""source"":""DeepSeek-V3, Add+RMSNorm, prefill, seq=64"",""model"":""deepseek-ai/DeepSeek-V3"",""phase"":""prefill""}","DeepSeek-V3, Add+RMSNorm, prefill, seq=64",True
add_rmsnorm_bias,deepseek_v3_add_rmsnorm_prefill_s128,0.0206,2.4191,"{""hidden_size"":7168,""eps"":1e-06,""M"":128,""dtype"":""bf16"",""source"":""DeepSeek-V3, Add+RMSNorm, prefill, seq=128"",""model"":""deepseek-ai/DeepSeek-V3"",""phase"":""prefill""}","DeepSeek-V3, Add+RMSNorm, prefill, seq=128",True
add_rmsnorm_bias,deepseek_v3_add_rmsnorm_prefill_s256,0.0246,2.4188,"{""hidden_size"":7168,""eps"":1e-06,""M"":256,""dtype"":""bf16"",""source"":""DeepSeek-V3, Add+RMSNorm, prefill, seq=256"",""model"":""deepseek-ai/DeepSeek-V3"",""phase"":""prefill""}","DeepSeek-V3, Add+RMSNorm, prefill, seq=256",True
add_rmsnorm_bias,deepseek_v3_add_rmsnorm_prefill_s512,0.0367,2.4191,"{""hidden_size"":7168,""eps"":1e-06,""M"":512,""dtype"":""bf16"",""source"":""DeepSeek-V3, Add+RMSNorm, prefill, seq=512"",""model"":""deepseek-ai/DeepSeek-V3"",""phase"":""prefill""}","DeepSeek-V3, Add+RMSNorm, prefill, seq=512",True
add_rmsnorm_bias,deepseek_v3_add_rmsnorm_prefill_s1024,0.0637,2.4192,"{""hidden_size"":7168,""eps"":1e-06,""M"":1024,""dtype"":""bf16"",""source"":""DeepSeek-V3, Add+RMSNorm, prefill, seq=1024"",""model"":""deepseek-ai/DeepSeek-V3"",""phase"":""prefill""}","DeepSeek-V3, Add+RMSNorm, prefill, seq=1024",True
add_rmsnorm_bias,deepseek_v3_add_rmsnorm_prefill_s2048,0.1236,2.4847,"{""hidden_size"":7168,""eps"":1e-06,""M"":2048,""dtype"":""bf16"",""source"":""DeepSeek-V3, Add+RMSNorm, prefill, seq=2048"",""model"":""deepseek-ai/DeepSeek-V3"",""phase"":""prefill""}","DeepSeek-V3, Add+RMSNorm, prefill, seq=2048",True
add_rmsnorm_bias,deepseek_v3_add_rmsnorm_prefill_s4096,0.2403,2.6151,"{""hidden_size"":7168,""eps"":1e-06,""M"":4096,""dtype"":""bf16"",""source"":""DeepSeek-V3, Add+RMSNorm, prefill, seq=4096"",""model"":""deepseek-ai/DeepSeek-V3"",""phase"":""prefill""}","DeepSeek-V3, Add+RMSNorm, prefill, seq=4096",True
add_rmsnorm_bias,deepseek_v3_add_rmsnorm_prefill_s8192,0.4536,2.8124,"{""hidden_size"":7168,""eps"":1e-06,""M"":8192,""dtype"":""bf16"",""source"":""DeepSeek-V3, Add+RMSNorm, prefill, seq=8192"",""model"":""deepseek-ai/DeepSeek-V3"",""phase"":""prefill""}","DeepSeek-V3, Add+RMSNorm, prefill, seq=8192",True
bmm,llama31_8b_attn_qk_decode,0.0235,0.023,"{""phase"":""decode"",""batch"":32,""M"":1,""K"":128,""N"":1024,""source"":""Llama-3.1-8B attention Q@K^T decode (seq=1, kv_len=1024)""}","Llama-3.1-8B attention Q@K^T decode (seq=1, kv_len=1024)",True
bmm,llama31_8b_attn_qk_prefill_128,0.0238,0.0191,"{""phase"":""prefill"",""batch"":32,""M"":128,""K"":128,""N"":128,""source"":""Llama-3.1-8B attention Q@K^T prefill (seq=128)""}",Llama-3.1-8B attention Q@K^T prefill (seq=128),True
bmm,llama31_8b_attn_qk_prefill_512,0.0331,0.0361,"{""phase"":""prefill"",""batch"":32,""M"":512,""K"":128,""N"":512,""source"":""Llama-3.1-8B attention Q@K^T prefill (seq=512)""}",Llama-3.1-8B attention Q@K^T prefill (seq=512),True
bmm,llama31_8b_attn_qk_prefill_1024,0.084,0.087,"{""phase"":""prefill"",""batch"":32,""M"":1024,""K"":128,""N"":1024,""source"":""Llama-3.1-8B attention Q@K^T prefill (seq=1024)""}",Llama-3.1-8B attention Q@K^T prefill (seq=1024),True
bmm,llama31_8b_attn_av_decode,0.0246,0.0196,"{""phase"":""decode"",""batch"":32,""M"":1,""K"":1024,""N"":128,""source"":""Llama-3.1-8B attention Attn@V decode (seq=1, kv_len=1024)""}","Llama-3.1-8B attention Attn@V decode (seq=1, kv_len=1024)",True
bmm,llama31_8b_attn_av_prefill_512,0.0362,0.0374,"{""phase"":""prefill"",""batch"":32,""M"":512,""K"":512,""N"":128,""source"":""Llama-3.1-8B attention Attn@V prefill (seq=512)""}",Llama-3.1-8B attention Attn@V prefill (seq=512),True
bmm,deepseek_v3_attn_qk_decode,0.0333,0.0326,"{""phase"":""decode"",""batch"":128,""M"":1,""K"":128,""N"":1024,""source"":""DeepSeek-V3 attention Q@K^T decode (128 heads, seq=1, kv_len=1024)""}","DeepSeek-V3 attention Q@K^T decode (128 heads, seq=1, kv_len=1024)",True
bmm,deepseek_v3_attn_qk_prefill_512,0.0837,0.0869,"{""phase"":""prefill"",""batch"":128,""M"":512,""K"":128,""N"":512,""source"":""DeepSeek-V3 attention Q@K^T prefill (128 heads, seq=512)""}","DeepSeek-V3 attention Q@K^T prefill (128 heads, seq=512)",True
bmm,deepseek_v3_attn_qk_prefill_2048,0.9878,0.9913,"{""phase"":""prefill"",""batch"":128,""M"":2048,""K"":128,""N"":2048,""source"":""DeepSeek-V3 attention Q@K^T prefill (128 heads, seq=2048)""}","DeepSeek-V3 attention Q@K^T prefill (128 heads, seq=2048)",True
bmm,deepseek_v3_attn_av_decode,0.023,0.0227,"{""phase"":""decode"",""batch"":128,""M"":1,""K"":1024,""N"":128,""source"":""DeepSeek-V3 attention Attn@V decode (128 heads, seq=1, kv_len=1024)""}","DeepSeek-V3 attention Attn@V decode (128 heads, seq=1, kv_len=1024)",True
bmm,deepseek_v3_attn_av_prefill_2048,1.0495,1.0518,"{""phase"":""prefill"",""batch"":128,""M"":2048,""K"":2048,""N"":128,""source"":""DeepSeek-V3 attention Attn@V prefill (128 heads, seq=2048)""}","DeepSeek-V3 attention Attn@V prefill (128 heads, seq=2048)",True
causal_conv1d_decode,mamba_2.8b_decode_single,0.0097,2.3541,"{""batch"":1,""hidden_size"":2560,""kernel_size"":4,""dtype"":""bf16""}",,True
causal_conv1d_decode,mamba_2.8b_decode_batch8,0.0099,2.3541,"{""batch"":8,""hidden_size"":2560,""kernel_size"":4,""dtype"":""bf16""}",,True
causal_conv1d_decode,mamba_2.8b_decode_batch32,0.0127,2.3766,"{""batch"":32,""hidden_size"":2560,""kernel_size"":4,""dtype"":""bf16""}",,True
causal_conv1d_decode,mamba_decode_kernel8,0.0105,2.3542,"{""batch"":1,""hidden_size"":2560,""kernel_size"":8,""dtype"":""bf16""}",,True
causal_conv1d_prefill,mamba_conv1d_prefill_b1_s64,0.0149,2.4218,"{""batch"":1,""hidden_size"":2560,""seq_len"":64,""kernel_size"":4,""dtype"":""bf16"",""source"":""Mamba-2.8B conv1d, prefill, batch=1, seq=64"",""model"":""state-spaces/mamba-2.8b"",""phase"":""prefill""}","Mamba-2.8B conv1d, prefill, batch=1, seq=64",True
causal_conv1d_prefill,mamba_conv1d_prefill_b1_s128,0.018,2.4192,"{""batch"":1,""hidden_size"":2560,""seq_len"":128,""kernel_size"":4,""dtype"":""bf16"",""source"":""Mamba-2.8B conv1d, prefill, batch=1, seq=128"",""model"":""state-spaces/mamba-2.8b"",""phase"":""prefill""}","Mamba-2.8B conv1d, prefill, batch=1, seq=128",True
causal_conv1d_prefill,mamba_conv1d_prefill_b1_s256,0.0249,2.4189,"{""batch"":1,""hidden_size"":2560,""seq_len"":256,""kernel_size"":4,""dtype"":""bf16"",""source"":""Mamba-2.8B conv1d, prefill, batch=1, seq=256"",""model"":""state-spaces/mamba-2.8b"",""phase"":""prefill""}","Mamba-2.8B conv1d, prefill, batch=1, seq=256",True
causal_conv1d_prefill,mamba_conv1d_prefill_b4_s512,0.1214,2.4847,"{""batch"":4,""hidden_size"":2560,""seq_len"":512,""kernel_size"":4,""dtype"":""bf16"",""source"":""Mamba-2.8B conv1d, prefill, batch=4, seq=512"",""model"":""state-spaces/mamba-2.8b"",""phase"":""prefill""}","Mamba-2.8B conv1d, prefill, batch=4, seq=512",True
causal_conv1d_prefill,mamba_conv1d_prefill_b4_s1024,0.2441,2.6157,"{""batch"":4,""hidden_size"":2560,""seq_len"":1024,""kernel_size"":4,""dtype"":""bf16"",""source"":""Mamba-2.8B conv1d, prefill, batch=4, seq=1024"",""model"":""state-spaces/mamba-2.8b"",""phase"":""prefill""}","Mamba-2.8B conv1d, prefill, batch=4, seq=1024",True
causal_conv1d_prefill,mamba_conv1d_prefill_b1_s2048,0.1213,2.4846,"{""batch"":1,""hidden_size"":2560,""seq_len"":2048,""kernel_size"":4,""dtype"":""bf16"",""source"":""Mamba-2.8B conv1d, prefill, batch=1, seq=2048"",""model"":""state-spaces/mamba-2.8b"",""phase"":""prefill""}","Mamba-2.8B conv1d, prefill, batch=1, seq=2048",True
causal_conv1d_prefill,mamba_conv1d_prefill_b1_s4096,0.2438,2.6154,"{""batch"":1,""hidden_size"":2560,""seq_len"":4096,""kernel_size"":4,""dtype"":""bf16"",""source"":""Mamba-2.8B conv1d, prefill, batch=1, seq=4096"",""model"":""state-spaces/mamba-2.8b"",""phase"":""prefill""}","Mamba-2.8B conv1d, prefill, batch=1, seq=4096",True
causal_conv1d_prefill,mamba_conv1d_prefill_b8_s512,0.2447,2.6148,"{""batch"":8,""hidden_size"":2560,""seq_len"":512,""kernel_size"":4,""dtype"":""bf16"",""source"":""Mamba-2.8B conv1d, prefill, batch=8, seq=512"",""model"":""state-spaces/mamba-2.8b"",""phase"":""prefill""}","Mamba-2.8B conv1d, prefill, batch=8, seq=512",True
causal_conv1d_prefill,mamba_conv1d_prefill_b8_s1024,0.4863,2.8776,"{""batch"":8,""hidden_size"":2560,""seq_len"":1024,""kernel_size"":4,""dtype"":""bf16"",""source"":""Mamba-2.8B conv1d, prefill, batch=8, seq=1024"",""model"":""state-spaces/mamba-2.8b"",""phase"":""prefill""}","Mamba-2.8B conv1d, prefill, batch=8, seq=1024",True
flash_linear_attention,gla_decode_b1,0.0085,2.3526,"{""num_heads"":16,""head_dim"":64,""dtype"":""bf16"",""batch"":1,""seq_len"":1,""phase"":""decode"",""source"":""GLA model decode, single token, fused_recurrent kernel""}","GLA model decode, single token, fused_recurrent kernel",True
flash_linear_attention,gla_decode_b4,0.0088,2.3529,"{""num_heads"":16,""head_dim"":64,""dtype"":""bf16"",""batch"":4,""seq_len"":1,""phase"":""decode"",""source"":""GLA model decode, batch=4, fused_recurrent kernel""}","GLA model decode, batch=4, fused_recurrent kernel",True
flash_linear_attention,gla_decode_b8,0.009,2.3542,"{""num_heads"":16,""head_dim"":64,""dtype"":""bf16"",""batch"":8,""seq_len"":1,""phase"":""decode"",""source"":""GLA model decode, batch=8, fused_recurrent kernel""}","GLA model decode, batch=8, fused_recurrent kernel",True
flash_linear_attention,gla_prefill_s128,0.0421,2.4174,"{""num_heads"":16,""head_dim"":64,""dtype"":""bf16"",""batch"":1,""seq_len"":128,""phase"":""prefill"",""source"":""GLA model prefill, chunk kernel""}","GLA model prefill, chunk kernel",True
flash_linear_attention,gla_prefill_s512,0.056,2.4174,"{""num_heads"":16,""head_dim"":64,""dtype"":""bf16"",""batch"":1,""seq_len"":512,""phase"":""prefill"",""source"":""GLA model prefill, chunk kernel""}","GLA model prefill, chunk kernel",True
flash_linear_attention,gla_prefill_s1024,0.0889,2.483,"{""num_heads"":16,""head_dim"":64,""dtype"":""bf16"",""batch"":1,""seq_len"":1024,""phase"":""prefill"",""source"":""GLA model prefill, chunk kernel""}","GLA model prefill, chunk kernel",True
flash_linear_attention,gla_prefill_s2048,0.1519,2.5485,"{""num_heads"":16,""head_dim"":64,""dtype"":""bf16"",""batch"":1,""seq_len"":2048,""phase"":""prefill"",""source"":""GLA model prefill, chunk kernel, 2K context""}","GLA model prefill, chunk kernel, 2K context",True
